Part Number,Mfg Name,VID,Vendor Part Num,Description,Customer Ref,Part Value,Tol,Qty-1,Qty-5,Qty-25,Part References,Value
GH36P010001,APEM Inc.,ME,642-GH36P010001,SWITCH SLIDE SPDT 3A 30V,con023,GH36P010001,*,2,10,50,"SW3, SW4",
GRM188R71H104KA93D,Murata,ME,81-GRM39X104K50D,CAP CER 0.1UF 50V X7R 0603,capcer012,100n,*,2,10,50,"C37, C41",0.1u
GRM188R71C474KA88D,Murata,ME,81-GRM188R71C474KA88,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.47uF 16volts X7R 10%,capcer013,470n,*,2,10,50,"C43, C44",0.47u
ERJ-2GE0R00X,Panasonic,ME,667-ERJ-2GE0R00X,RES SMD 0.0 OHM JUMPER 1/10W 0402,res074,0R,*,3,15,75,"R53, R59, R60",0R
ERJ-2GE0R00X,Panasonic,ME,667-ERJ-2GE0R00X,RES SMD 0.0 OHM JUMPER 1/10W 0402,res074,0R,*,1,5,25,"R58",0R  (NC)
ERJ-2RKF1801X,Panasonic,ME,667-ERJ-2RKF1801X,RES SMD 1.8K OHM 1% 1/10W 0402,res110,1.8k,*,1,5,25,"R3",1.8k
ERJ-2RKF1004X,Panasonic,ME,667-ERJ-2RKF1004X,Thick Film Resistors - SMD 0402 1Mohms 1%,res076,1M,*,14,70,350,"R1, R2, R5, R13, R14, R18, R19, R22, R23, R24, R25, R35, R36, R37",1M
ERJ-3EKF1001V,Panasonic,ME,667-ERJ-3EKF1001V,Thick Film Resistors - SMD 0603 1Kohms 1% Tol,res018,1k,*,1,5,25,"R34",1k
C1608X5R1H105K080AB,TDK,ME,810-C1608X5R1H105K,CAP CER 1UF 50V X5R 0603,capcer028,1u,*,20,100,500,"C1, C7, C8, C11, C12, C15, C21, C25, C26, C31, C32, C33, C34, C35, C38, C45, C50, C51, C53, C54",1u
C1608X5R1H105K080AB,TDK,ME,810-C1608X5R1H105K,CAP CER 1UF 50V X5R 0603,capcer028,1u,*,2,10,50,"C64, C65",1u (NC)
ERJ-2RKF2201X,Panasonic,ME,667-ERJ-2RKF2201X,Thick Film Resistors - SMD 0402 2.2Kohms 1%,res078,2.2k,*,1,5,25,"R4",2.2k
ERJ-PA3F2001V,Panasonic,ME,667-ERJ-PA3F2001V,RES SMD 2K OHM 1% 1/4W 0603,res126,2k,*,1,5,25,"R46",2k
ERJ-2RKF4701X,Panasonic,ME,667-ERJ-2RKF4701X,Thick Film Resistors - SMD 0402 4.7Kohms 1%,res080,4.7k,*,2,10,50,"R54, R55",4.7k (NC)
ERJ-2RKF4701X,Panasonic,ME,667-ERJ-2RKF4701X,Thick Film Resistors - SMD 0402 4.7Kohms 1%,res080,4.7k,*,1,5,25,"R6",4k7
CRCW060310R0FKEAHP,Vishay,ME,71-CRCW060310R0FKEAH,Thick Film Resistors - SMD 1/4watt 10ohms 1% 100ppm High Power,res033,10,*,3,15,75,"R33, R38, R39",10
CR0603-FX-1002HLF,Bourns,ME,652-CR0603-FX1002HLF,Thick Film Resistors - SMD 10KOHM 1/10WATT 1%,res002,10k,*,2,10,50,"R48, R49",10k
ERJ-2RKF1002X,Panasonic,ME,667-ERJ-2RKF1002X,Thick Film Resistors - SMD 0402 10Kohms 1%,res083,10k,*,4,20,100,"R9, R10, R26, R28",10k
GRM21BR6YA106KE43L,Murata,ME,81-GRM21BR6YA106KE3L,CAP CER 10UF 35V X5R 0805,capcer075,10u,*,18,90,450,"C3, C5, C6, C9, C10, C13, C14, C16, C20, C22, C23, C24, C27, C28, C29, C30, C52, C59",10u
SRN4018-100M,Bourns,ME,652-SRN4018-100M,FIXED IND 10UH 1.3A 180 MOHM SMD,ind010,10u,*,1,5,25,"L4",10u
GRM21BR6YA106KE43L,Murata,ME,81-GRM21BR6YA106KE3L,CAP CER 10UF 35V X5R 0805,capcer075,10u,*,2,10,50,"C2, C4",10u (NC)
*** ERROR - PART '*' NOT FOUND FOR: "V1"
ERJ-3EKF2002V,Panasonic,ME,667-ERJ-3EKF2002V,RES SMD 20K OHM 1% 1/10W 0603,res022,20k,*,2,10,50,"R40, R41",20k
C2012X5R1V226M125AC,TDK,ME,810-C2012X5R1V226MAC,CAP CER 22UF 35V X5R 0805,capcer078,22u,*,1,5,25,"C63",22u
ERJ-2RKF3302X,Panasonic,ME,667-ERJ-2RKF3302X,RES SMD 33K OHM 1% 1/10W 0402,res091,33k,*,2,10,50,"R7, R12",33k
35RAPC4BHN2,Switchcraft,ME,502-35RAPC4BHN2,Phone Connectors 3C 3.5mm JACKET,con008,35RAPC4BHN2,*,1,5,25,"J4",35RAPC4BHN2
GRM155R71H473KE14D,Murata,ME,81-GRM155R71H473KE4D,CAP CER 0.047UF 50V 10% X7R 0402,capcer058,47n,*,1,5,25,"C19",47n
EEE-HBC470UAR,Panasonic,ME,667-EEE-HBC470UAR,CAP ALUM 47UF 20% 16V SMD,capelec003,47u,*,2,10,50,"C55, C56",47u
HI0805R800R-10,Laird Technologies,ME,875-HI0805R800R-10,EMI Filter Beads, Chips & Arrays 80ohms 100MHz 5A Monolithic 0805 SMD,fer003,80,*,2,10,50,"L1, L2",80
ERJ-2RKF8202X,Panasonic,ME,667-ERJ-2RKF8202X,RES SMD 82K OHM 1% 1/10W 0402,res108,82k,*,1,5,25,"R51",82k
ERJ-3EKF8202V,Panasonic,ME,667-ERJ-3EKF8202V,RES SMD 82K OHM 1% 1/10W 0603,res042,82k,*,3,15,75,"R42, R43, R44",82k
ERJ-2RKF1000X,Panasonic,ME,667-ERJ-2RKF1000X,RES SMD 100 OHM 1% 1/10W 0402,res094,100,*,4,20,100,"R15, R16, R20, R21",100
EEE-1VA101XP,Panasonic,ME,667-EEE-1VA101XP,CAP ALUM 100UF 20% 35V SMD,capelec002,100u,*,2,10,50,"C57, C58",100U
ERJ-2RKF1003X,Panasonic,ME,667-ERJ-2RKF1003X,Thick Film Resistors - SMD 0402 100Kohms 1%,res095,100k,*,4,20,100,"R17, R27, R29, R47",100k
ERJ-3EKF1003V,Panasonic,ME,667-ERJ-3EKF1003V,RES SMD 100K OHM 1% 1/10W 0603,res048,100k,*,3,15,75,"R30, R31, R32",100k
ERJ-2RKF1003X,Panasonic,ME,667-ERJ-2RKF1003X,Thick Film Resistors - SMD 0402 100Kohms 1%,res095,100k,*,2,10,50,"R56, R57",100k (NC)
EEE-1VA101XP,Panasonic,ME,667-EEE-1VA101XP,CAP ALUM 100UF 20% 35V SMD,capelec002,100u,*,2,10,50,"C36, C40",100u
SRN1060-101M,Bourns,ME,652-SRN1060-101M,FIXED IND 100UH 1.7A 210 MOHM,ind009,100u,*,1,5,25,"L3",100u
GRM188R71C184KA01D,Murata,ME,81-GRM188R71C184KA1D,CAP CER 0.18UF 16V X7R 0603,capcer077,180n,*,1,5,25,"C18",180n
ERJ-3EKF2400V,Panasonic,ME,667-ERJ-3EKF2400V,RES SMD 240 OHM 1% 1/10W 0603,res121,240,*,2,10,50,"R8, R11",240
ERJ-PA3F2700V,Panasonic,ME,667-ERJ-PA3F2700V,RES SMD 270 OHM 1% 1/4W 0603,res127,270,*,1,5,25,"R45",270
GRM1555C1H271JA01D,Murata,ME,81-GRM155C1H271JA01D,CAP CER 270PF 50V NP0 0402,capcer073,270p,*,1,5,25,"C17",270p
ERJ-2GEJ434X,Panasonic,ME,667-ERJ-2GEJ434X,RES SMD 430K OHM 5% 1/10W 0402,res124,430k,*,1,5,25,"R50",430k
GRM1885C1H102FA01D,Murata,ME,81-GRM1885C1H102FA1D,CAP CER 1000PF 50V C0G/NP0 0603,capcer017,1n,*,6,30,150,"C39, C42, C46, C47, C48, C49",1000p
3314G-1-105E,Bourns,ME,652-3314G-1-105E,TRIMMER 1M OHM 0.25W SMD,pottrim003,B1M,*,1,5,25,"RV2",B1M (NC)
3310Y-001-103L,Bourns,ME,652-3310Y-001-103L,POT 10K OHM 1/4W PLASTIC LINEAR,pot018,B10K,*,1,5,25,"RV6",B10K
3310Y-001-103L,Bourns,ME,652-3310Y-001-103L,POT 10K OHM 1/4W PLASTIC LINEAR,pot018,B10K,*,1,5,25,"RV1",B10k
3314G-2-103E,Bourns,ME,652-3314G-2-103E,TRIMMER 10K OHM 0.25W SMD,pottrim005,B10k,*,2,10,50,"RV3, RV10",B10k
3310H-001-104L,Bourns,ME,652-3310H-001-104L,POT 100K OHM 1/4W PLASTIC LINEAR 9mm,pot018,B100K,*,1,5,25,"RV7",B100k
3310Y-001-204L,Bourns,ME,652-3310Y-001-204L,Potentiometers 9mm 200Kohms Single Cup,pot015,B200k,*,2,10,50,"RV4, RV5",B200K
3310Y-001-504L,Bourns,ME,652-3310Y-001-504L,Potentiometers 9mm 500Kohms Single Cup,pot016,B500k,*,2,10,50,"RV8, RV9",B500K
3314G-1-504E,Bourns,ME,652-3314G-1-504E,TRIMMER 500K OHM 0.25W SMD,pottrim003,B500k,*,2,10,50,"VR1, VR2",B500k
BLM31PG121SN1L,Murata,ME,81-BLM31PG121SN1L,EMI Filter Beads, Chips & Arrays 1206 120 OHM,fer002,120,*,1,5,25,"FB1",BLM31PG121SN1L
SSL-LX5093USBD,Lumex,ME,696-SSL-LX5093USBD,LED BLUE DIFF 5MM ROUND T/H,led009,Blue,*,1,5,25,"LED2",BLUE
MHS122K,APEM Inc.,ME,642-MHS122K,SWITCH SLIDE SPDT 300MA 30V,sw0013,MHS122K,*,1,5,25,"SW2",BOOSTH
MHS122K,APEM Inc.,ME,642-MHS122K,SWITCH SLIDE SPDT 300MA 30V,sw0013,MHS122K,*,1,5,25,"SW1",BOOSTL
PJ-202A,CUI,ME,490-PJ-202A,CONN POWER JACK 2.1MM PCB,con014,PJ-202A,*,1,5,25,"J5",DCJ0202
*** ERROR - PART '*' NOT FOUND FOR: "JP3, JP4, JP5"
SSL-LX5093GD,Lumex,ME,696-SSL-LX5093GD,LED GRN DIFF 5MM ROUND T/H,led010,Green,*,1,5,25,"LED1",GREEN
LME49723MA/NOPB,Texas Instruments,ME,926-LME49723MA/NOPB,Audio Amplifiers Dual Audio Op Amp,icopamp002,LME49723,*,1,5,25,"U3",LME49723MA/NOPB
1249,Keystone electronics,ME,534-1249,Test Points TP TERM BRS MATTE TINNED PLATED,tp001,*,*,4,20,100,"LSP1, LSP2, LSP3, LSP4",LSP13
MMBF4117,Fairchild Semiconductor,ME,512-MMBF4117,JFET N-CH 40V 0.225W SOT23,jfet002,MMBF4117,*,10,50,250,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10",MMBF4117
NMJ4HCD2,REAN,ME,550-12202,Phone Connectors 2C MONO 2-SPST NC,con005,*,*,3,15,75,"J1, J2, J3",MONOSW3C
*** ERROR - PART '*' NOT FOUND FOR: "H1, H3"
*** ERROR - PART '*' NOT FOUND FOR: "H2, H4, H6, H7"
*** ERROR - PART '*' NOT FOUND FOR: "U1"
TPA3112D1PWP,Texas Instruments,ME,595-TPA3112D1PWP,Audio Amplifiers 25W Filter-Free Mono Class-D Aud Amp,icamp003,TP3112D,*,1,5,25,"U2",TPA3112D1PWP
TPA6111A2D,Texas Instruments,ME,595-TPA6111A2D,Audio Amplifiers Stereo HdPhne Aud,icamp002,TP6111A,*,1,5,25,"U4",TPA6111A2D
TPS62175DQCR,Texas Instruments,ME,595-TPS62175DQCR,IC REG BUCK BST ADJ 0.5A 10WSON,icreg009,TPS62175,*,1,5,25,"U5",TPS62175DQCR
*** ERROR - PART '*' NOT FOUND FOR: "TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22"
77311-401-36LF,FCI,ME,649-77311-401-36LF,Headers & Wire Housings 36P STR SR TMT HDR TIN .425IN LENGTH,con007,*,*,1,5,25,"JP2",pa_gain0
77311-401-36LF,FCI,ME,649-77311-401-36LF,Headers & Wire Housings 36P STR SR TMT HDR TIN .425IN LENGTH,con007,*,*,1,5,25,"JP1",pa_gain1
